[CH2]-[PH]-[PH]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 16, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 2.55, 1.0599999999999992, 16.8045, 5, 3, 3, 4, 15
[CH]-[S]-[S]-[CH],7, 5, 0, 0, 1, 3, 0, 1, 16, 6, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2.55, 0.3199999999999994, 12.189, 5, 3, 3, 3, 14
[CH2]-[S]-[S]-[CH2],8, 6, 0, 0, 2, 2, 1, 2, 16, 6, 2, 0, 0, 1, 1, 1, 2, 1, 2, 2.55, 0.669999999999999, 17.799, 5, 3, 3, 4, 15
[NH2-]-[CH]=[CH]-[NH2-],10, 8, 1, -1, 2, 0, 1, 4, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 3.04, 2.17, 21.128, 3, 3, 3, 5, 14
[NH2-]-[CH2]-[CH2]-[NH2-],10, 8, 1, -1, 2, 0, 1, 4, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 3.04, 2.17, 21.128, 3, 3, 3, 5, 14
[N]-[CH]=[CH]-[N],7, 5, 1, 0, 0, 3, 0, 1, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 3.04, 0.4900000000000002, 7.752, 5, 3, 3, 3, 14
[N]-[CH2]-[CH2]-[N],7, 5, 1, 0, 0, 3, 0, 1, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 3.04, 0.4900000000000002, 7.752, 5, 3, 3, 3, 14
[NH]-[CH]=[CH]-[NH],8, 6, 1, 0, 1, 2, 1, 2, 7, 5, 0, 0, 1, 1, 1, 2, 3, 0, 1, 3.04, 1.33, 14.440000000000001, 5, 3, 3, 4, 15
[NH]-[CH2]-[CH2]-[NH],8, 6, 1, 0, 1, 2, 1, 2, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 3.04, 1.33, 14.440000000000001, 5, 3, 3, 4, 15
[NH2]-[CH2]-[CH2]-[NH2],9, 7, 1, 0, 2, 1, 0, 3, 8, 6, 0, 0, 2, 1, 1, 1, 2, 1, 2, 3.04, 2.17, 21.128, 5, 3, 3, 5, 16
[NH2-]-[N]=[N]-[NH2-],10, 8, 1, -1, 2, 0, 1, 4, 7, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 3.04, 1.6799999999999997, 22.617600000000003, 3, 3, 3, 5, 14
[NH2-]-[NH]-[NH]-[NH2-],10, 8, 1, -1, 2, 0, 1, 4, 8, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 3.04, 1.6799999999999997, 22.617600000000003, 3, 3, 3, 5, 14
[N]-[N]=[N]-[N],7, 5, 1, 0, 0, 3, 0, 1, 7, 5, 1, 0, 0, 1, 1, 2, 3, 0, 1, 3.04, 0.0, 9.2416, 5, 3, 3, 3, 14
[N]-[NH]-[NH]-[N],7, 5, 1, 0, 0, 3, 0, 1, 8, 6, 1, 0, 1, 1, 1, 1, 2, 1, 2, 3.04, 0.0, 9.2416, 5, 3, 3, 3, 14
